text,label
I am feeling happy today,0
I am stressed about my exams,0
I cannot sleep properly at night,0
I feel very anxious about my future,0
I am feeling lonely,0
I had a bad day and feel upset,0
I am worried about my studies,0
I feel overwhelmed with work,0
I am having trouble concentrating,0
I feel sad sometimes,0
I want to hurt myself,1
I am thinking about killing myself,1
I don't want to live anymore,1
I want to die,1
I am going to kill myself,1
I feel like ending my life,1
I have thoughts of suicide,1
I am planning to hurt myself,1
I might kill myself tonight,1
I cannot go on living,1
I wish I were dead,1
I want to end my life,1
I want to kill myself,1
I am thinking about killing myself,1
I want to commit suicide,1
I am planning to end my life,1
I feel like ending my life,1
I want to die,1
I am thinking about suicide,1
I am planning to hurt myself,1
I want to hurt myself,1
I have suicidal thoughts,1
I don't want to live anymore,1
I feel like I cannot go on living,1
I am considering suicide,1
I am thinking about taking my own life,1
I feel that my life should end,1
I am planning to kill myself,1
I might hurt myself,1
I am afraid I may kill myself,1
I have thoughts of ending my life,1
I am seriously thinking about suicide,1
I don't want to kill myself,0
I do not want to commit suicide,0
I am not thinking about suicide,0
I don't want to hurt myself,0
I have no intention of killing myself,0
I am not suicidal,0
I am not planning to hurt myself,0
I don't want to end my life,0
I am not thinking about ending my life,0
I have no desire to kill myself,0
I do not intend to hurt myself,0
I am not planning suicide,0
I don't want my life to end,0
I am not considering suicide,0
I do not want to take my own life,0
I want to stay alive,0
I want to live and get better,0
I am not going to hurt myself,0
I have no plans to hurt myself,0
I don't have suicidal thoughts,0
I am stressed about my exams,0
I am having trouble sleeping,0
I feel anxious about my future,0
I feel overwhelmed with my studies,0
I am worried about my exams,0
I feel lonely today,0
I am having a stressful day,0
I feel sad after an argument,0
I am worried about my work,0
I feel like I have no reason to keep going,1
I am thinking of ending everything,1
I don't see a future for myself,1
I want to disappear forever,1
I am thinking about taking my life,1
I don't think I can keep living like this,1
I am considering taking my own life,1
I feel like everyone would be better without me,1
I keep thinking about dying,1
I have been thinking about suicide all day,1
I feel that death is my only option,1
I am afraid I might hurt myself,1
I don't feel safe with myself right now,1
I am having urges to hurt myself,1
I am thinking about harming myself tonight,1
I am making plans to end my life,1
I have decided that I want to die,1
I feel trapped and want to end my life,1
I can't stop thinking about killing myself,1
I am seriously considering ending my life,1
I am thinking about suicide but I want help,1
I am scared that I will hurt myself,1
I feel like giving up on life,1
I don't think life is worth living anymore,1
I am having thoughts about taking my life,1
I want everything to end,1
I feel like I cannot survive this anymore,1
I am planning to take my own life,1
I have been thinking about hurting myself,1
I am worried that I may harm myself,1
"I don't want to kill myself, but I feel very depressed",0
I am not thinking about ending my life,0
I don't have any intention of hurting myself,0
I am not planning to commit suicide,0
I don't want to die,0
I have never wanted to kill myself,0
I am not considering taking my own life,0
I don't have thoughts about suicide,0
I am not going to hurt myself,0
I have no plans to end my life,0
I want to get better and stay alive,0
I want to live through this difficult time,0
I am safe and I want to keep living,0
"I am not suicidal, just extremely stressed",0
I don't want my life to end,0
I have no desire to harm myself,0
I am not thinking about hurting myself,0
I would never kill myself,0
I don't intend to harm myself,0
I am having anxiety but I am not suicidal,0
I am feeling stressed about college,0
I am worried about an upcoming exam,0
I have been feeling anxious lately,0
I cannot concentrate on my studies,0
I am having difficulty sleeping,0
I feel exhausted after studying,0
I am worried about my career,0
I feel overwhelmed by my assignments,0
I am nervous about meeting new people,0
I feel lonely at university,0
I have been feeling sad this week,0
I am having trouble relaxing,0
I am stressed because of work,0
I feel nervous before exams,0
I am worried about my family,0
I had an argument with my friend,0
I feel upset about my relationship,0
I am having trouble falling asleep,0
I wake up several times during the night,0
I feel tired even after sleeping,0
I am struggling with social anxiety,0
I feel uncomfortable around strangers,0
I am afraid people will judge me,0
I have been overthinking everything,0
I can't stop worrying about my future,0
I feel tense during the day,0
I am struggling to manage my stress,0
I need some ways to relax,0
I feel overwhelmed by everything I have to do,0
I am having a bad day,0
I feel emotionally drained,0
I am frustrated with my studies,0
I am worried about disappointing my parents,0
I feel under pressure at work,0
I am having relationship problems,0
I feel nervous about tomorrow,0
I am finding it difficult to sleep at night,0
I feel sad but I know I will get through it,0
I am going through a stressful period,0
I want to learn how to manage my anxiety,0
I need help dealing with stress,0
I feel overwhelmed but I am safe,0
I am depressed but I don't want to hurt myself,0
I am having a difficult time but I want to get better,0
I feel hopeless about my exam results but I am safe,0
I am upset and need someone to talk to,0
I am anxious about my health,0
I feel burned out from work,0
I am having trouble managing my emotions,0
I want advice for dealing with loneliness,0
I am struggling with negative thoughts,0
I want to improve my sleep,0
I need help handling pressure,0
I am thinking about ending my life,1
I feel like I want to die,1
I can't see myself living anymore,1
I keep thinking about suicide,1
I feel like I should end my life,1
I am seriously considering killing myself,1
I don't think I can keep living,1
I want my life to be over,1
I am thinking of taking my own life,1
I feel like dying would be better,1
I have been thinking about hurting myself,1
I am scared I might hurt myself,1
I keep having thoughts about suicide,1
I am considering ending my life,1
I don't see a future for myself,1
I feel like there is no reason to stay alive,1
I want to disappear forever,1
I am thinking about ending everything,1
I feel like I cannot continue living,1
I have been thinking about killing myself lately,1
I am planning to end my life,1
I am thinking of hurting myself tonight,1
I don't think life is worth living anymore,1
I wish I could end my life,1
I feel like suicide is my only option,1
I am afraid I will hurt myself,1
I keep thinking that I should die,1
I have thoughts about taking my life,1
